grade,dependency_status,locality,locality_code,monthly_rate
E-3,with_dependents,Washington DC,WASHINGTON_DC,2601.00
E-4,without_dependents,Washington DC,WASHINGTON_DC,2097.00
E-4,with_dependents,Washington DC,WASHINGTON_DC,2601.00
E-5,without_dependents,Washington DC,WASHINGTON_DC,2376.00
E-5,with_dependents,Washington DC,WASHINGTON_DC,2838.00
E-6,without_dependents,Washington DC,WASHINGTON_DC,2556.00
E-6,with_dependents,Washington DC,WASHINGTON_DC,3033.00
E-7,without_dependents,Washington DC,WASHINGTON_DC,2811.00
E-7,with_dependents,Washington DC,WASHINGTON_DC,3330.00
E-8,without_dependents,Washington DC,WASHINGTON_DC,3042.00
E-8,with_dependents,Washington DC,WASHINGTON_DC,3573.00
E-9,without_dependents,Washington DC,WASHINGTON_DC,3225.00
E-9,with_dependents,Washington DC,WASHINGTON_DC,3792.00
O-1,without_dependents,Washington DC,WASHINGTON_DC,2601.00
O-1,with_dependents,Washington DC,WASHINGTON_DC,3033.00
O-2,without_dependents,Washington DC,WASHINGTON_DC,2838.00
O-2,with_dependents,Washington DC,WASHINGTON_DC,3330.00
O-3,without_dependents,Washington DC,WASHINGTON_DC,3330.00
O-3,with_dependents,Washington DC,WASHINGTON_DC,3921.00
O-4,without_dependents,Washington DC,WASHINGTON_DC,3735.00
O-4,with_dependents,Washington DC,WASHINGTON_DC,4383.00
O-5,without_dependents,Washington DC,WASHINGTON_DC,4023.00
O-5,with_dependents,Washington DC,WASHINGTON_DC,4722.00
O-6,without_dependents,Washington DC,WASHINGTON_DC,4461.00
O-6,with_dependents,Washington DC,WASHINGTON_DC,5220.00
